track_name,artist_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,duration_ms,time_signature
Bole Chudiyan,Jatin-Lalit,afghan pop,0.59,0.875,5.0,-5.294,1.0,0.171,0.45,0.164,0.737,96.915,408133.0,5.0
Bom Diggy Diggy,Zack Knight,desi hip hop,0.782,0.827,11.0,-4.219,0.0,0.0627,0.159,0.226,0.498,104.032,238530.0,11.0
Bombs Away,Charlotte Gainsbourg,art pop,0.741,0.655,2.0,-7.484,1.0,0.0646,0.236,0.0716,0.633,106.994,227627.0,2.0
Bone,So Below,indie electropop,0.552,0.645,8.0,-7.262,1.0,0.0321,0.0617,0.0814,0.252,92.985,252903.0,8.0
Bones,Imagine Dragons,modern rock,0.772,0.75,5.0,-3.67,0.0,0.0455,0.0201,0.074,0.587,114.061,165265.0,5.0
Bones,Low Roar,icelandic indie,0.508,0.411,11.0,-9.857,0.0,0.0386,0.25,0.162,0.353,69.995,169806.0,11.0
Bonnie And Clyde,Brigitte Bardot,chanson,0.349,0.575,5.0,-12.029,1.0,0.0546,0.0064,0.122,0.565,97.236,256000.0,5.0
BooHoo,The Neighbourhood,modern alternative rock,0.696,0.838,5.0,-9.299,0.0,0.0361,0.0621,0.0967,0.66,139.977,191120.0,5.0
Boogie Wonderland,"Earth, Wind & Fire",disco,0.802,0.756,2.0,-10.791,0.0,0.0349,0.0843,0.0521,0.963,131.715,288293.0,2.0
"Boom, Boom, Boom, Boom!!",Vengaboys,bubblegum dance,0.801,0.948,11.0,-4.623,0.0,0.0386,0.0117,0.025,0.968,138.489,202583.0,11.0
Boot Scootin' Boogie,Brooks & Dunn,contemporary country,0.656,0.817,11.0,-4.296,0.0,0.0435,0.22,0.304,0.862,130.448,198227.0,11.0
Bored,Billie Eilish,art pop,0.614,0.318,7.0,-12.695,1.0,0.0478,0.896,0.0795,0.112,119.959,180933.0,7.0
Bored,Death Angel,death metal,0.295,0.925,11.0,-5.567,0.0,0.136,0.00012,0.444,0.234,147.12,208147.0,11.0
Born In The Slumber,flora cash,indie pop,0.619,0.332,1.0,-8.598,0.0,0.0339,0.723,0.131,0.0878,120.008,212840.0,1.0
